Source,Plant Name,Unit Name,State,Year,Plant Vintage,Technology,Sector,Annual Generation (In MU)
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 2,Karnataka,2018-19,2000-2009,Pressurised Heavy Water Reactor,central,1919.71
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 1,Gujarat,2018-19,1990-1999,Pressurised Heavy Water Reactor,central,0.00
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 2,Gujarat,2018-19,1990-1999,Pressurised Heavy Water Reactor,central,999.89
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 2,Tamil Nadu,2018-19,2010-2019,Pressurised Water Reactor,central,3261.41
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 1,Tamil Nadu,2018-19,2010-2019,Pressurised Water Reactor,central,2797.34
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 2,Tamil Nadu,2018-19,1980-1989,Pressurised Heavy Water Reactor,central,1491.19
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 1,Tamil Nadu,2018-19,1980-1989,Pressurised Heavy Water Reactor,central,0.00
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 2,Uttar Pradesh,2018-19,1990-1999,Pressurised Heavy Water Reactor,central,1660.08
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 1,Uttar Pradesh,2018-19,1990-1999,Pressurised Heavy Water Reactor,central,1496.31
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 1,Rajasthan,2018-19,1970-1979,Pressurised Heavy Water Reactor,central,0.00
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 2,Rajasthan,2018-19,1980-1989,Pressurised Heavy Water Reactor,central,958.42
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 3,Rajasthan,2018-19,2000-2009,Pressurised Heavy Water Reactor,central,1548.98
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 4,Rajasthan,2018-19,2000-2009,Pressurised Heavy Water Reactor,central,1785.93
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 6,Rajasthan,2018-19,2010-2019,Pressurised Heavy Water Reactor,central,1985.62
